sweep_name,scenario_id,user_custody_fraction,user_split,outcome,winning_fork,final_v27_hashrate,v27_econ_share,cascade_time_s,econ_outcome,hr_type
user_weight_threshold,sweep_0011,0.2,0.4,v27_dominant,v27,86.4,1.0,1333.0,full_switch,v27 dominant
user_weight_threshold,sweep_0012,0.2,0.5,v27_dominant,v27,86.4,1.0,1961.0,full_switch,v27 dominant
user_weight_threshold,sweep_0013,0.2,0.6,v27_dominant,v27,86.4,1.0,1982.0,full_switch,v27 dominant
user_weight_threshold,sweep_0014,0.2,0.7,v27_dominant,v27,86.4,1.0,1377.0,full_switch,v27 dominant
user_weight_threshold,sweep_0015,0.35,0.3,v26_dominant,v26,30.0,0.5597627339684653,,no_switch,no ideology flip
user_weight_threshold,sweep_0016,0.35,0.4,v27_dominant,v27,86.4,1.0,1337.0,full_switch,v27 dominant
user_weight_threshold,sweep_0017,0.35,0.5,v26_dominant,v26,30.0,0.5597627339684653,,no_switch,no ideology flip
user_weight_threshold,sweep_0018,0.35,0.6,v27_dominant,v27,86.4,1.0,1279.0,full_switch,v27 dominant
user_weight_threshold,sweep_0019,0.35,0.7,v27_dominant,v27,86.4,1.0,3742.0,full_switch,v27 dominant
user_weight_threshold,sweep_0020,0.5,0.3,v27_dominant,v27,86.4,0.7309173716186765,2561.0,partial_switch,v27 dominant
user_weight_threshold,sweep_0021,0.5,0.4,v26_dominant,v26,30.0,0.5332247203627699,,no_switch,no ideology flip
user_weight_threshold,sweep_0022,0.5,0.5,v27_dominant,v27,86.4,0.7309173716186765,4599.0,partial_switch,v27 dominant
user_weight_threshold,sweep_0023,0.5,0.6,v27_dominant,v27,86.4,1.0,1277.0,full_switch,v27 dominant
user_weight_threshold,sweep_0024,0.5,0.7,v27_dominant,v27,86.4,1.0,2664.0,full_switch,v27 dominant
user_weight_threshold,sweep_0025,0.65,0.3,v26_dominant,v26,30.0,0.5066867067570746,,no_switch,no ideology flip
user_weight_threshold,sweep_0027,0.65,0.5,v26_dominant,v26,0.0,0.28909703875679377,,no_switch,complete collapse
user_weight_threshold,sweep_0028,0.65,0.6,v27_dominant,v27,86.4,0.7947411024826764,1947.0,partial_switch,v27 dominant
user_weight_threshold,sweep_0029,0.65,0.7,v27_dominant,v27,86.4,1.0,1435.0,full_switch,v27 dominant
