scenario_id,outcome,economic_split,hashrate_split,pool_ideology_strength,pool_profitability_threshold,pool_max_loss_pct,pool_committed_split,pool_neutral_pct,econ_ideology_strength,user_ideology_strength,v27_hash_share,v27_econ_share,v27_block_share,total_reorgs,total_orphans,duration,econ_inertia,econ_switching_threshold,economic_nodes_per_partition,final_v26_economic,final_v26_hashrate,final_v26_price,final_v27_economic,final_v27_hashrate,final_v27_price,reorg_mass,solo_miner_hashrate,total_blocks,transaction_velocity,user_nodes_per_partition,user_switching_threshold,v26_blocks,v27_blocks,winning_fork
sweep_0017,v27_dominant,0.326,0.578,0.113,0.189,0.487,0.8,42.323,0.438,0.527,1.0,0.5500340053519982,0.9190751445086706,7,14,1800,0.205,0.12,2,44.99659946480019,0.0,54017.78602036596,55.00340053519982,98.36999999999999,65903.97397963404,98,0.041,173,0.795,2,0.127,14,159,v27
sweep_0018,v26_dominant,0.2,0.085,0.479,0.263,0.273,0.258,29.303,0.067,0.315,0.0,0.5500340053519982,0.0,0,0,1800,0.208,0.231,3,44.99659946480019,98.36999999999999,65321.35193577602,55.00340053519982,0.0,54600.40806422398,0,0.143,188,0.121,4,0.067,188,0,v26
sweep_0019,v27_dominant,0.802,0.484,0.759,0.271,0.055,0.942,22.65,0.672,0.245,1.0,0.5500340053519982,0.7942857142857143,8,36,1800,0.054,0.064,1,44.99659946480019,0.0,54961.037718908556,55.00340053519982,98.36999999999999,64960.72228109145,232,0.1,175,0.66,2,0.128,36,139,v27
sweep_0020,v27_dominant,0.239,0.84,0.716,0.204,0.292,0.485,27.48,0.777,0.358,1.0,0.5500340053519982,0.9476439790575916,4,10,1800,0.29,0.158,1,44.99659946480019,0.0,53796.775704251246,55.00340053519982,98.36999999999999,66124.98429574877,40,0.136,191,0.257,7,0.062,10,181,v27
sweep_0021,v26_dominant,0.641,0.205,0.659,0.127,0.331,0.327,18.375,0.795,0.502,0.2733556978753685,0.5500340053519982,0.24731182795698925,0,0,1800,0.079,0.142,3,44.99659946480019,71.48,62291.306093079394,55.00340053519982,26.89,57630.453906920615,0,0.12,186,0.31,9,0.189,140,46,v26
sweep_0022,v26_dominant,0.581,0.072,0.24,0.166,0.38,0.425,19.819,0.39,0.44,0.0,0.5500340053519982,0.0,0,0,1800,0.15,0.146,1,44.99659946480019,98.36999999999999,65321.35193577602,55.00340053519982,0.0,54600.40806422398,0,0.124,189,0.641,3,0.111,189,0,v26
sweep_0023,v27_dominant,0.121,0.688,0.607,0.115,0.044,0.811,46.563,0.131,0.63,1.0,0.5500340053519982,0.9456521739130435,6,10,1800,0.226,0.033,2,44.99659946480019,0.0,53814.473527165006,55.00340053519982,98.36999999999999,66107.286472835,60,0.029,184,0.389,6,0.073,10,174,v27
sweep_0024,v26_dominant,0.007,0.111,0.188,0.102,0.064,0.17,26.756,0.476,0.686,0.0,0.5500340053519982,0.0,0,0,1800,0.17,0.138,2,44.99659946480019,98.36999999999999,65321.35193577602,55.00340053519982,0.0,54600.40806422398,0,0.031,188,0.429,3,0.183,188,0,v26
sweep_0025,v26_dominant,0.572,0.519,0.731,0.184,0.214,0.084,14.475,0.371,0.657,0.0,0.5500340053519982,0.25,11,53,1800,0.157,0.045,3,44.99659946480019,98.36999999999999,63433.54705772725,55.00340053519982,0.0,56488.21294227276,333,0.07,172,0.449,5,0.119,129,43,v26
sweep_0026,v27_dominant,0.83,0.867,0.311,0.096,0.17,0.354,11.101,0.168,0.868,1.0,0.5500340053519982,0.9476439790575916,4,10,1800,0.141,0.15,2,44.99659946480019,0.0,53796.775704251246,55.00340053519982,98.36999999999999,66124.98429574877,40,0.082,191,0.594,6,0.097,10,181,v27
sweep_0027,v27_dominant,0.172,0.414,0.681,0.258,0.162,0.645,45.004,0.052,0.696,1.0,0.5500340053519982,0.751412429378531,10,54,1800,0.199,0.05,3,44.99659946480019,0.0,55274.14814879377,55.00340053519982,98.36999999999999,64647.611851206224,308,0.087,177,0.226,8,0.156,44,133,v27
sweep_0028,v27_dominant,0.257,0.798,0.287,0.222,0.266,0.963,42.907,0.241,0.237,1.0,0.5500340053519982,0.9361702127659575,5,12,1800,0.109,0.103,1,44.99659946480019,0.0,53883.6636613041,55.00340053519982,98.36999999999999,66038.09633869592,60,0.074,188,0.52,8,0.095,12,176,v27
sweep_0029,v27_dominant,0.841,0.592,0.593,0.23,0.389,0.668,25.815,0.355,0.568,0.6677848937684253,0.5500340053519982,0.6823529411764706,6,18,1800,0.213,0.162,1,44.99659946480019,32.68,57150.05011759421,55.00340053519982,65.69,62771.7098824058,105,0.098,170,0.754,8,0.187,54,116,v27
