sweep_name,economic_split,pool_committed_split,pool_ideology_strength,pool_max_loss_pct,outcome,total_reorgs,reorg_mass,cascade_time_s,econ_lag_s,duration,scenario_id,contentiousness,sp_pools,sp_economic,z_joint,surprise
lhs_2016_full_parameter,0.4248,0.2236,0.7905,0.1262,v26_dominant,8,1126,,,13000,sweep_0017,0.09378842315369262,0.026957480700894484,0.0,0.11686107615451073,0.016750087582146536
lhs_2016_full_parameter,0.5029,0.1922,0.4897,0.2572,v26_dominant,8,1126,,,13000,sweep_0021,0.09378842315369262,0.0,0.000402191248873173,0.09030578670248941,0.00030101928900829497
lhs_2016_full_parameter,0.7206,0.2059,0.7519,0.3311,v26_dominant,8,1126,,,13000,sweep_0022,0.09378842315369262,0.0,0.1040205256223563,0.19392412107597254,0.015513929686077794
lhs_2016_full_parameter,0.3081,0.1716,0.5673,0.2449,v26_dominant,8,1126,,,13000,sweep_0034,0.09378842315369262,0.14949148388677855,0.0,0.23939507934039478,0.0015959671956026422
lhs_2016_full_parameter,0.4147,0.2363,0.4071,0.3273,v26_dominant,8,1128,,,13000,sweep_0042,0.09386027944111777,0.009802720254870707,0.0,0.09977519562328073,0.014966279343492112
lhs_2016_full_parameter,0.6993,0.1939,0.4678,0.3845,v26_dominant,8,1126,,,13000,sweep_0045,0.09378842315369262,0.0,0.05528049372442966,0.1451840891780459,0.0033876287474877355
lhs_2016_full_parameter,0.5803,0.246,0.6816,0.3007,v26_dominant,8,1126,,,13000,sweep_0048,0.09378842315369262,0.17399828452395538,0.031182303585049587,0.2950841835626212,0.008852525506878645
lhs_2016_full_phase3_merged,0.4186,0.3112,0.6498,0.2942,v26_dominant,3,9,,,13000,sweep_0002,0.020323353293413175,0.0804639954253972,0.0,0.09994553132623828,0.002332062397612225
lhs_2016_full_phase3_merged,0.5238,0.4084,0.5686,0.1715,v26_dominant,4,29,,,13000,sweep_0004,0.02770858283433134,0.02205612057345915,0.021784897025171657,0.07040187807549939,0.03191551806089306
lhs_2016_full_phase3_merged,0.4737,0.3422,0.4475,0.3542,v26_dominant,4,8,,,13000,sweep_0005,0.02695409181636727,0.06167544827022832,0.0,0.0875130696417622,0.024654376452965338
lhs_2016_full_phase3_merged,0.6988,0.4232,0.4898,0.3517,v26_dominant,3,12,,,13000,sweep_0011,0.020431137724550897,0.01764489645876724,0.19851050551279387,0.23574025774459284,0.11001212028080999
lhs_2016_full_phase3_merged,0.6497,0.3071,0.6128,0.2994,v26_dominant,3,27,,,13000,sweep_0012,0.020970059880239523,0.2556876199812115,0.18685250676097367,0.4626415818761702,0.26164951686107846
lhs_2016_full_phase3_merged,0.4506,0.3209,0.6999,0.2904,v26_dominant,3,33,,,13000,sweep_0013,0.02118562874251497,0.09190050238941305,0.0,0.1122085972677795,0.017766361234065088
lhs_2016_full_phase3_merged,0.7414,0.1727,0.7198,0.2738,v26_dominant,4,8,,,13000,sweep_0014,0.02695409181636727,0.392108810194829,0.058864156438527174,0.47681058800489007,0.09854085485434394
lhs_2016_full_phase3_merged,0.5802,0.174,0.6649,0.2956,v26_dominant,8,50,,,13000,sweep_0015,0.05512974051896208,0.1862516848425438,0.02669440399417517,0.26579229013128103,0.01063169160525125
lhs_2016_full_phase3_merged,0.3633,0.4213,0.5158,0.3286,v26_dominant,4,12,,,13000,sweep_0016,0.027097804391217565,0.01960544050974145,0.0,0.04558082171086288,0.0012154885789563412
lhs_2016_full_phase3_merged,0.6597,0.2239,0.777,0.2124,v26_dominant,4,16,,,13000,sweep_0017,0.027241516966067865,0.04656292121063595,0.00885930240621316,0.08153536464755812,0.0024460609394267455
lhs_2016_full_phase3_merged,0.5631,0.268,0.7271,0.2668,v26_dominant,3,12,,,13000,sweep_0018,0.020431137724550897,0.01715476044602378,0.24293128077109788,0.2796708969901534,0.04754405248832609
lhs_2016_full_phase3_merged,0.4378,0.3116,0.663,0.3697,v26_dominant,3,12,,,13000,sweep_0019,0.020431137724550897,0.13233672344075478,0.0,0.15192157921378652,0.016711373713516515
lhs_2016_full_phase3_merged,0.4254,0.2706,0.7838,0.3959,v26_dominant,3,87,,,13000,sweep_0022,0.023125748502994013,0.27692684720009797,0.0,0.2990946997778965,0.014954734988894838
lhs_2016_full_phase3_merged,0.6327,0.1622,0.6514,0.3149,v26_dominant,8,204,,,13000,sweep_0023,0.060662674650698606,0.36024996936649917,0.014722973441508915,0.43312289754169125,0.06785592061486499
lhs_2016_full_phase3_merged,0.5535,0.2493,0.4528,0.1673,v26_dominant,4,72,,,13000,sweep_0024,0.029253493013972058,0.8111751010905536,0.0,0.8392168797354884,0.11469297356385012
lhs_2016_full_phase3_merged,0.7528,0.2454,0.6961,0.3274,v26_dominant,6,68,,,13000,sweep_0026,0.04244311377245509,0.31858840828329854,0.11742874973996248,0.4767022276947877,0.050848237620777365
lhs_2016_full_phase3_merged,0.4695,0.2049,0.4938,0.3467,v26_dominant,4,32,,,13000,sweep_0029,0.027816367265469065,0.0024506800637176807,0.0,0.02911486041277693,0.000388198138837025
lhs_2016_full_phase3_merged,0.3843,0.4211,0.6574,0.3243,v26_dominant,4,47,,,13000,sweep_0031,0.028355289421157687,0.024506800637176807,0.0,0.05168758034718941,0.0020675032138875783
lhs_2016_full_phase3_merged,0.2825,0.2411,0.6655,0.371,v26_dominant,4,104,,,13000,sweep_0032,0.03040319361277445,0.07106972184781285,0.0,0.10021357912944821,0.0
lhs_2016_full_phase3_merged,0.2987,0.4576,0.5289,0.2857,v26_dominant,4,16,,,13000,sweep_0033,0.027241516966067865,0.0,0.0,0.026113141030708997,0.001653832265278237
lhs_2016_full_phase3_merged,0.3121,0.3791,0.6602,0.3165,v26_dominant,4,27,,,13000,sweep_0034,0.02763672654690619,0.009802720254870731,0.0,0.03629470081694553,0.0021776820490167336
lhs_2016_full_phase3_merged,0.6616,0.316,0.7353,0.173,v26_dominant,4,8,,,13000,sweep_0035,0.02695409181636727,0.10047788261242489,0.7754469176894805,0.9017624216734392,0.550075077220798
lhs_2016_full_phase3_merged,0.3982,0.5045,0.7414,0.2093,v26_dominant,4,32,,,13000,sweep_0036,0.027816367265469065,0.14459012375934324,0.0,0.17125430410840248,0.06564748324155428
lhs_2016_full_phase3_merged,0.4062,0.295,0.5449,0.1991,v26_dominant,4,16,,,13000,sweep_0037,0.027241516966067865,0.06616836172037738,0.0,0.09228150275108638,0.02204502565720397
lhs_2016_full_phase3_merged,0.5601,0.2514,0.4788,0.2387,v26_dominant,4,24,,,13000,sweep_0038,0.027528942115768465,0.8239186374218844,0.06310836379486269,0.9134156619066313,0.09438628506368518
lhs_2016_full_phase3_merged,0.5997,0.518,0.6894,0.3323,v26_dominant,3,3,,,13000,sweep_0039,0.020107784431137726,0.19115304496997915,0.030419527078565947,0.2408474682050048,0.10436723622216874
