scenario_id,outcome,econ_outcome,economic_split,hashrate_split,pool_ideology_strength,pool_profitability_threshold,pool_max_loss_pct,pool_committed_split,pool_neutral_pct,econ_ideology_strength,user_ideology_strength,v27_hash_share,v27_econ_share,v27_block_share,econ_initial,econ_final,econ_delta,econ_switched,econ_outcome,econ_switch_time_s,econ_95pct_time_s,cascade_time_s,econ_lag_s,peak_price_gap_pct,total_reorgs,total_orphans,duration,econ_inertia,econ_switching_threshold,economic_nodes_per_partition,final_v26_economic,final_v26_hashrate,final_v26_price,final_v27_economic,final_v27_hashrate,final_v27_price,reorg_mass,solo_miner_hashrate,total_blocks,transaction_velocity,user_nodes_per_partition,user_switching_threshold,v26_blocks,v26_fork_valuation,v26_pool_opportunity_cost,v27_blocks,v27_fork_valuation,v27_pool_opportunity_cost,winning_fork
sweep_0022,v26_dominant,no_switch,0.7206,0.25,0.7519,0.16,0.3311,0.2059,30.0,0.4,0.49,0.0,0.5673664319629602,0.03139942620337902,56.74,56.74,-0.0,False,no_switch,None,None,None,None,0.89,8,0,13000,0.05,0.1,2,43.26335680370397,86.4,64280.19621356877,56.73664319629601,0.0,55067.00378643123,1126,0.085,6274,0.5,6,0.12,6077,138734557749.90335,1591462.1461877306,197,155862748857.1907,0,v26
sweep_0023,v27_dominant,full_switch,0.5387,0.25,0.3445,0.16,0.2752,0.6022,30.0,0.4,0.49,1.0,1.0,0.9600599101347979,56.74,100.0,43.26,True,full_switch,2722.0,2722.0,1208.0,1514.0,46.94,6,0,13000,0.05,0.1,2,0.0,0.0,48331.02943607947,100.0,86.4,71016.17056392055,1095,0.085,6009,0.5,6,0.12,240,0.0,0,5769,354278255046.0341,700339.9429354253,v27
sweep_0024,v27_dominant,no_switch,0.7347,0.25,0.635,0.16,0.2267,0.4071,30.0,0.4,0.49,1.0,0.5673741253525133,0.7469602366086099,56.74,56.74,0.0,False,no_switch,None,None,10306.0,None,14.97,10,0,13000,0.05,0.1,2,43.26258746474866,0.0,55518.64092261067,56.73741253525133,86.4,63828.559077389335,8303,0.085,6086,0.5,6,0.12,1540,119822551584.81525,0,4546,180664079923.92172,97359254.3798616,v27
sweep_0025,v27_dominant,no_switch,0.3788,0.25,0.712,0.16,0.2173,0.4963,30.0,0.4,0.49,1.0,0.5673741253525133,0.773067331670823,56.74,56.74,0.0,False,no_switch,None,None,8420.0,None,16.18,10,0,13000,0.05,0.1,2,43.26258746474866,0.0,55206.95822539685,56.73741253525133,86.4,64140.241774603164,8343,0.085,6817,0.5,6,0.12,1547,119149865520.3805,0,5270,181546284826.1516,76271608.13222131,v27
sweep_0026,v27_dominant,no_switch,0.7783,0.25,0.6637,0.16,0.3237,0.4102,30.0,0.4,0.49,1.0,0.5673741253525133,0.7729007633587787,56.74,56.74,0.0,False,no_switch,None,None,8418.0,None,16.17,10,0,13000,0.05,0.1,2,43.26258746474866,0.0,55208.611093294865,56.73741253525133,86.4,64138.58890670515,8343,0.085,6812,0.5,6,0.12,1547,119153432805.9927,0,5265,181541606452.35864,76271608.13222131,v27
sweep_0027,v27_dominant,no_switch,0.6664,0.25,0.5386,0.16,0.3053,0.529,30.0,0.4,0.49,1.0,0.5673741253525133,0.7715593620791494,56.74,56.74,0.0,False,no_switch,None,None,8417.0,None,16.12,10,0,13000,0.05,0.1,2,43.26258746474866,0.0,55221.51352371179,56.73741253525133,86.4,64125.68647628822,8343,0.085,6772,0.5,6,0.12,1547,119181279347.41573,0,5225,181505086660.06268,76276617.41126646,v27
sweep_0028,v27_dominant,no_switch,0.5085,0.25,0.658,0.16,0.185,0.463,30.0,0.4,0.49,1.0,0.5673741253525133,0.7666415094339623,56.74,56.74,0.0,False,no_switch,None,None,8419.0,None,15.97,10,0,13000,0.05,0.1,2,43.26258746474866,0.0,55261.4478865731,56.73741253525133,86.4,64085.752113426905,8343,0.085,6625,0.5,6,0.12,1546,119267467286.71753,0,5079,181392054108.0519,76271608.13222131,v27
sweep_0029,v27_dominant,full_switch,0.755,0.25,0.5232,0.16,0.1721,0.3844,30.0,0.4,0.49,1.0,1.0,0.9403503234969228,56.74,100.0,43.26,True,full_switch,4237.0,4237.0,1811.0,2426.0,46.07,10,0,13000,0.05,0.1,2,0.0,0.0,48501.63019899684,100.0,86.4,70845.56980100316,2483,0.085,6337,0.5,6,0.12,378,0.0,0,5959,353427179296.4414,5749518.321842229,v27
sweep_0030,v27_dominant,no_switch,0.6392,0.25,0.7759,0.16,0.2387,0.5054,30.0,0.4,0.49,1.0,0.5673741253525133,0.772834067547724,56.74,56.74,0.0,False,no_switch,None,None,8419.0,None,16.17,10,0,13000,0.05,0.1,2,43.26258746474866,0.0,55209.325014887116,56.73741253525133,86.4,64137.87498511289,8343,0.085,6810,0.5,6,0.12,1547,119154973620.12997,0,5263,181539585727.0052,76271608.13222131,v27
sweep_0031,v27_dominant,no_switch,0.7137,0.25,0.5865,0.16,0.3431,0.584,30.0,0.4,0.49,1.0,0.5673741253525133,0.8074921956295525,56.74,56.74,0.0,False,no_switch,None,None,7813.0,None,17.42,8,0,13000,0.05,0.1,2,43.26258746474866,0.0,54893.56662017453,56.73741253525133,86.4,64453.63337982546,5672,0.085,6727,0.5,6,0.12,1295,118473491222.32549,0,5432,182433326721.37473,79986010.2124267,v27
