scenario_id,outcome,v27_hash_share,v27_econ_share,v27_block_share,total_reorgs,total_orphans,duration,final_v26_economic,final_v26_hashrate,final_v26_price,final_v27_economic,final_v27_hashrate,final_v27_price,reorg_mass,total_blocks,v26_blocks,v26_fork_valuation,v26_pool_opportunity_cost,v27_blocks,v27_fork_valuation,v27_pool_opportunity_cost,winning_fork
sweep_0017,v26_dominant,0.0,0.30067963339166637,0.19977553310886645,3,170,1800,69.93203666083336,98.36999999999999,66835.40370725849,30.06796333916664,0.0,53086.35629274152,531,891,713,233168564640.1587,0,178,79629534439.11227,0,v26
sweep_0018,v26_dominant,0.0,0.30067963339166637,0.0011614401858304297,0,0,1800,69.93203666083336,98.36999999999999,68305.00224876238,30.06796333916664,0.0,51616.75775123764,0,861,860,238295550691.15366,0,1,77425136626.85646,0,v26
sweep_0019,v27_dominant,1.0,1.0,0.8297142857142857,8,85,1800,0.0,0.0,49256.206088992985,100.0,98.36999999999999,70665.55391100702,1184,875,149,0.0,0,726,352529134317.6434,0,v27
sweep_0020,v26_dominant,0.2733556978753685,0.30076799311326574,0.5551839464882943,13,186,1800,69.92320068867342,71.48,62958.37580677874,30.076799311326575,26.89,56963.38419322126,3351,897,399,219615031632.48453,10989747.41483187,498,85470185749.58426,1579548.5325514823,v27
sweep_0021,v26_dominant,0.2733556978753685,0.6214929353977099,0.27932960893854747,0,0,1800,37.850706460229006,71.48,61157.456572462506,62.14929353977099,26.89,58764.303427537496,0,895,645,115481030946.47314,0,250,182195243930.3171,7335709.332893133,v26
sweep_0022,v26_dominant,0.0,0.6214045756761105,0.0011614401858304297,0,0,1800,37.85954243238895,98.36999999999999,64456.30294134904,62.14045756761105,0.0,55465.45705865096,0,861,860,121738514946.11517,0,1,171942916881.81796,0,v26
sweep_0023,v26_dominant,0.0,0.0,0.237880496054115,4,206,1800,100.0,98.36999999999999,70161.3892004635,0.0,0.0,49760.370799536504,840,887,676,350014008642.90173,0,211,0.0,0,v26
sweep_0024,v26_dominant,0.0,0.0,0.0011614401858304297,0,0,1800,100.0,98.36999999999999,71913.15784946237,0.0,0.0,48008.60215053764,0,861,860,358753054064.2972,0,1,0.0,0,v26
sweep_0025,v27_dominant,1.0,1.0,0.8560179977502812,7,57,1800,0.0,0.0,49062.975778546715,100.0,98.36999999999999,70858.7842214533,889,889,128,0.0,0,761,353493102054.3336,0,v27
sweep_0026,v27_dominant,1.0,1.0,0.967741935483871,4,0,1800,0.0,0.0,48238.016528925626,100.0,98.36999999999999,71683.74347107438,108,868,28,0.0,0,840,357608574926.4844,0,v27
sweep_0027,v26_dominant,0.0,0.0,0.16477272727272727,2,120,1800,100.0,98.36999999999999,70704.97678321679,0.0,0.0,49216.783216783224,288,880,735,352725803136.37115,0,145,0.0,0,v26
sweep_0028,v27_dominant,1.0,0.30076799311326574,0.9272116461366181,5,0,1800,69.92320068867342,0.0,56926.86655686762,30.076799311326575,98.36999999999999,62994.89344313239,320,893,65,198575573772.64197,0,828,94520108313.72832,0,v27
sweep_0029,v27_dominant,1.0,0.8483672608805827,0.8571428571428571,7,45,1800,15.163273911941735,0.0,50875.48201492955,84.83672608805827,98.36999999999999,69046.27798507045,882,889,127,38484758370.19346,0,762,292220998147.34406,0,v27
sweep_0030,contested,0.5741587882484497,0.6214929353977099,0.5213963963963963,7,6,1800,37.850706460229006,41.89,58003.1511955508,62.14929353977099,56.48,61918.6088044492,1026,888,425,109524889908.88487,15074719.980901502,463,191974981016.55353,0,v27
sweep_0031,v26_dominant,0.0,0.5012210820410434,0.0011614401858304297,0,0,1800,49.87789179589566,98.36999999999999,65898.50486496984,50.12210820410434,0.0,54023.25513503016,0,861,860,163972454240.92807,0,1,135081951288.43893,0,v26
sweep_0032,v27_dominant,1.0,0.5015834170355274,0.8983050847457628,6,0,1800,49.841658296447264,0.0,54732.73913478481,50.15834170355274,98.36999999999999,65189.02086521521,534,885,90,136090219221.68568,0,795,163119121853.77094,0,v27
sweep_0033,v27_dominant,1.0,1.0,0.9747995418098511,3,0,1800,0.0,0.0,48185.91549295774,100.0,98.36999999999999,71735.84450704226,63,873,22,0.0,0,851,357868491280.2136,0,v27
sweep_0034,contested,0.4690454406831351,0.5012210820410434,0.48322147651006714,0,0,1800,49.87789179589566,52.23,60261.847405863395,50.12210820410434,46.14,59659.91259413661,0,894,462,149946998592.4429,0,432,149176079574.81302,1509475.3049335778,v26
sweep_0035,v27_dominant,1.0,1.0,0.8571428571428571,7,35,1800,0.0,0.0,49054.671280276816,100.0,98.36999999999999,70867.0887197232,882,889,127,0.0,0,762,353534530691.39935,0,v27
sweep_0036,v27_dominant,1.0,0.30076799311326574,0.9272116461366181,5,0,1800,69.92320068867342,0.0,56928.097515476635,30.076799311326575,98.36999999999999,62993.66248452337,320,893,65,198579867673.3405,0,828,94518261333.20824,0,v27
sweep_0037,v27_dominant,1.0,0.5012210820410434,0.9677790563866513,4,0,1800,49.87789179589566,0.0,54223.3635444331,50.12210820410434,98.36999999999999,65698.39645556691,108,869,28,134921695352.53131,0,841,164274950992.0749,0,v27
sweep_0038,v26_dominant,0.0,0.5012210820410434,0.09417040358744394,1,71,1800,49.87789179589566,98.36999999999999,65210.3328219591,50.12210820410434,0.0,54711.42717804091,83,892,808,162260104938.5625,0,84,136802684742.20238,0,v26
sweep_0039,v27_dominant,1.0,1.0,0.8980747451868629,6,0,1800,0.0,0.0,48751.74013921114,100.0,98.36999999999999,71170.01986078886,534,883,90,0.0,0,793,355045762784.0852,0,v27
sweep_0040,v26_dominant,0.0,0.30067963339166637,0.0011627906976744186,0,0,1800,69.93203666083336,98.36999999999999,68305.00224876238,30.06796333916664,0.0,51616.75775123764,0,860,859,238295550691.15366,0,1,77425136626.85646,0,v26
sweep_0041,v26_dominant,0.0,0.30067963339166637,0.0011627906976744186,0,0,1800,69.93203666083336,98.36999999999999,68305.00224876238,30.06796333916664,0.0,51616.75775123764,0,860,859,238295550691.15366,0,1,77425136626.85646,0,v26
sweep_0042,v27_dominant,1.0,0.6218552703921939,0.9283314669652856,5,0,1800,37.814472960780606,0.0,53066.78382762433,62.18552703921939,98.36999999999999,66854.97617237567,315,893,64,100107834351.62192,0,829,207400741525.691,0,v27
sweep_0043,v26_dominant,0.0,0.0,0.0940649496080627,1,73,1800,100.0,98.36999999999999,71226.58758620691,0.0,0.0,48695.1724137931,83,893,809,355327962104.2385,0,84,0.0,0,v26
sweep_0044,v27_dominant,1.0,0.702036505963305,0.9283314669652856,5,0,1800,29.796349403669502,0.0,52104.60900077099,70.2036505963305,98.36999999999999,67817.15099922901,315,893,64,77450896049.19604,0,829,237512507223.26517,0,v27
sweep_0045,v27_dominant,1.0,0.30076799311326574,0.9988358556461001,0,0,1800,69.92320068867342,0.0,56399.38623317845,30.076799311326575,98.36999999999999,63522.37376682156,0,859,1,196735586535.23233,0,858,95311561312.58876,0,v27
sweep_0046,v27_dominant,1.0,0.702036505963305,0.9827586206896551,2,0,1800,29.796349403669502,0.0,51702.92041900638,70.2036505963305,98.36999999999999,68218.83958099362,28,870,15,76853806056.83203,0,855,238919320408.01477,0,v27
sweep_0047,v27_dominant,1.0,1.0,0.8560179977502812,7,0,1800,0.0,0.0,49062.975778546715,100.0,98.36999999999999,70858.7842214533,889,889,128,0.0,0,761,353493102054.3336,0,v27
sweep_0048,contested,0.4690454406831351,0.5012210820410434,0.4105960264900662,1,67,1800,49.87789179589566,52.23,60797.70977881439,50.12210820410434,46.14,59124.050221185615,221,906,534,151280362203.775,0,372,147836187434.30154,19266256.48154565,v26
sweep_0049,v26_dominant,0.0,0.30067963339166637,0.16477272727272727,2,128,1800,69.93203666083336,98.36999999999999,67096.8211825168,30.06796333916664,0.0,52824.93881748322,288,880,735,234080571362.59604,0,145,79237408226.22482,0,v26
