scenario_id,outcome,economic_split,hashrate_split,pool_ideology_strength,pool_profitability_threshold,pool_max_loss_pct,pool_committed_split,pool_neutral_pct,econ_ideology_strength,user_ideology_strength,v27_hash_share,v27_econ_share,v27_block_share,total_reorgs,total_orphans,duration,econ_inertia,econ_switching_threshold,economic_nodes_per_partition,final_v26_economic,final_v26_hashrate,final_v26_price,final_v27_economic,final_v27_hashrate,final_v27_price,reorg_mass,solo_miner_hashrate,total_blocks,transaction_velocity,user_nodes_per_partition,user_switching_threshold,v26_blocks,v27_blocks,winning_fork
sweep_0039,v27_dominant,0.95,0.726,0.434,0.108,0.131,0.905,47.709,0.578,0.419,1.0,0.5,0.9342004590665647,6,0,2500,0.171,0.122,2,50.0,0.0,54522.84631373889,50.0,98.36999999999999,65398.91368626111,510,0.025,1307,0.286,8,0.16,86,1221,v27
sweep_0040,v26_dominant,0.157,0.053,0.634,0.274,0.36,0.634,46.97,0.289,0.167,0.0,0.5,0.0008084074373484236,0,0,2500,0.224,0.168,3,50.0,98.36999999999999,65915.61647604762,50.0,0.0,54006.14352395238,0,0.146,1237,0.889,7,0.056,1236,1,v26
sweep_0041,v26_dominant,0.284,0.033,0.772,0.242,0.195,0.185,28.76,0.628,0.101,0.0,0.5,0.0008084074373484236,0,0,2500,0.255,0.194,2,50.0,98.36999999999999,65915.61036932131,50.0,0.0,54006.1496306787,0,0.115,1237,0.478,7,0.154,1236,1,v26
sweep_0042,v27_dominant,0.612,0.767,0.522,0.156,0.136,0.237,36.137,0.119,0.128,1.0,0.5,0.9557109557109557,5,0,2500,0.178,0.167,3,50.0,0.0,54347.6716720501,50.0,98.36999999999999,65574.0883279499,280,0.077,1287,0.811,3,0.166,57,1230,v27
sweep_0043,v26_dominant,0.264,0.225,0.223,0.197,0.225,0.212,40.042,0.542,0.375,0.0,0.5,0.06293169608595549,1,72,2500,0.096,0.082,1,50.0,98.36999999999999,65427.44174691511,50.0,0.0,54494.3182530849,81,0.069,1303,0.233,9,0.193,1221,82,v26
sweep_0044,v27_dominant,0.716,0.805,0.864,0.206,0.254,0.447,49.48,0.348,0.548,1.0,0.5,0.9557109557109557,5,0,2500,0.279,0.239,1,50.0,0.0,54347.7374419504,50.0,98.36999999999999,65574.0225580496,280,0.141,1287,0.325,6,0.174,57,1230,v27
sweep_0045,v27_dominant,0.194,0.985,0.697,0.28,0.205,0.312,31.285,0.569,0.663,1.0,0.5,0.9991902834008097,0,0,2500,0.094,0.197,2,50.0,0.0,54006.165923471846,50.0,98.36999999999999,65915.59407652817,0,0.034,1235,0.111,7,0.168,1,1234,v27
sweep_0046,v27_dominant,0.679,0.95,0.579,0.025,0.181,0.057,21.892,0.287,0.866,1.0,0.5,0.988009592326139,2,0,2500,0.281,0.053,1,50.0,0.0,54092.22116992039,50.0,98.36999999999999,65829.53883007963,28,0.066,1251,0.498,9,0.178,15,1236,v27
sweep_0047,v27_dominant,0.878,0.622,0.826,0.084,0.301,0.017,33.695,0.707,0.402,1.0,0.5,0.9043674698795181,7,0,2500,0.153,0.203,1,50.0,0.0,54765.659364963874,50.0,98.36999999999999,65156.100635036135,882,0.133,1328,0.688,9,0.122,127,1201,v27
sweep_0048,v26_dominant,0.516,0.282,0.893,0.07,0.41,0.615,24.397,0.644,0.426,0.0,0.5,0.3819789939192924,15,1009,2500,0.123,0.099,2,50.0,98.36999999999999,63556.51845400893,50.0,0.0,56365.24154599108,9930,0.103,1809,0.384,2,0.051,1118,691,v26
sweep_0049,v26_dominant,0.35,0.471,0.439,0.146,0.347,0.298,36.816,0.035,0.462,0.0,0.5,0.1092436974789916,2,133,2500,0.249,0.134,2,50.0,98.36999999999999,65049.19028144212,50.0,0.0,54872.56971855789,284,0.095,1309,0.164,3,0.1,1166,143,v26
