scenario_id,outcome,economic_split,hashrate_split,pool_ideology_strength,pool_profitability_threshold,pool_max_loss_pct,pool_committed_split,pool_neutral_pct,econ_ideology_strength,user_ideology_strength,v27_hash_share,v27_econ_share,v27_block_share,total_reorgs,total_orphans,duration,econ_inertia,econ_switching_threshold,economic_nodes_per_partition,final_v26_economic,final_v26_hashrate,final_v26_price,final_v27_economic,final_v27_hashrate,final_v27_price,reorg_mass,solo_miner_hashrate,total_blocks,transaction_velocity,user_nodes_per_partition,user_switching_threshold,v26_blocks,v26_fork_valuation,v26_pool_opportunity_cost,v27_blocks,v27_fork_valuation,v27_pool_opportunity_cost,winning_fork
sweep_0010,v27_dominant,0.78,0.25,0.6,0.16,0.05,0.35,30.0,0.4,0.49,1.0,0.7621724326416383,0.8479657387580299,4,0,1800,0.17,0.14,2,23.782756735836173,0.0,52206.94894399383,76.21724326416383,86.4,67140.25105600616,564,0.085,934,0.5,6,0.12,142,61940934574.60149,0,792,255283910810.4927,0,v27
sweep_0011,v27_dominant,0.78,0.25,0.6,0.16,0.15,0.35,30.0,0.4,0.49,1.0,0.7621724326416383,0.8479657387580299,4,0,1800,0.17,0.14,2,23.782756735836173,0.0,52207.69165009836,76.21724326416383,86.4,67139.50834990165,564,0.085,934,0.5,6,0.12,142,61941815758.25919,0,792,255281086857.41,0,v27
sweep_0012,v27_dominant,0.78,0.25,0.6,0.16,0.25,0.35,30.0,0.4,0.49,1.0,0.7621724326416383,0.8479657387580299,4,0,1800,0.17,0.14,2,23.782756735836173,0.0,52207.69165009836,76.21724326416383,86.4,67139.50834990165,564,0.085,934,0.5,6,0.12,142,61941815758.25919,0,792,255281086857.41,0,v27
sweep_0013,v26_dominant,0.78,0.25,0.6,0.16,0.35,0.35,30.0,0.4,0.49,0.34722222222222227,0.7618100976471542,0.46008708272859217,7,0,1800,0.17,0.14,2,23.818990235284577,56.39999999999999,57374.92892055017,76.18100976471541,30.0,61972.27107944983,1469,0.085,1378,0.5,6,0.12,744,68176194191.80496,10337887.744984997,634,235521947479.0012,8660262.560896292,v26
sweep_0014,v26_dominant,0.78,0.25,0.6,0.16,0.45,0.35,30.0,0.4,0.49,0.34722222222222227,0.7618100976471542,0.4551422319474836,7,0,1800,0.17,0.14,2,23.818990235284577,56.39999999999999,57407.22689587072,76.18100976471541,30.0,61939.97310412928,1469,0.085,1371,0.5,6,0.12,747,68214572505.798256,10337887.744984997,624,235399200935.8356,8363940.220822379,v26
sweep_0015,v27_dominant,0.78,0.25,0.8,0.16,0.05,0.35,30.0,0.4,0.49,1.0,0.7621724326416383,0.8479657387580299,4,0,1800,0.17,0.14,2,23.782756735836173,0.0,52207.69165009836,76.21724326416383,86.4,67139.50834990165,564,0.085,934,0.5,6,0.12,142,61941815758.25919,0,792,255281086857.41,0,v27
sweep_0016,v27_dominant,0.78,0.25,0.8,0.16,0.15,0.35,30.0,0.4,0.49,1.0,0.7621724326416383,0.8479657387580299,4,0,1800,0.17,0.14,2,23.782756735836173,0.0,52207.69165009836,76.21724326416383,86.4,67139.50834990165,564,0.085,934,0.5,6,0.12,142,61941815758.25919,0,792,255281086857.41,0,v27
sweep_0017,v26_dominant,0.78,0.25,0.8,0.16,0.25,0.35,30.0,0.4,0.49,0.34722222222222227,0.7618100976471542,0.45745454545454545,7,0,1800,0.17,0.14,2,23.818990235284577,56.39999999999999,57401.852508436255,76.18100976471541,30.0,61945.34749156374,1469,0.085,1375,0.5,6,0.12,746,68208186349.1914,10337887.744984997,629,235419625977.11652,8223552.296666682,v26
sweep_0018,v26_dominant,0.78,0.25,0.8,0.16,0.35,0.35,30.0,0.4,0.49,0.34722222222222227,0.7618100976471542,0.4585755813953488,7,0,1800,0.17,0.14,2,23.818990235284577,56.39999999999999,57389.1490403013,76.18100976471541,30.0,61958.050959698696,1469,0.085,1376,0.5,6,0.12,745,68193091356.88775,10337887.744984997,631,235467904755.7181,8660262.560896292,v26
sweep_0019,v26_dominant,0.78,0.25,0.8,0.16,0.45,0.35,30.0,0.4,0.49,0.34722222222222227,0.7618100976471542,0.4551422319474836,7,0,1800,0.17,0.14,2,23.818990235284577,56.39999999999999,57404.63813733265,76.18100976471541,30.0,61942.56186266737,1469,0.085,1371,0.5,6,0.12,747,68211496393.842606,10269617.82923985,624,235409039359.4051,8363940.220822379,v26
